127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.014960
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001996
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003989
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/js/typeahead.min.js, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/js/ajax_editor.js, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001993
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/images/files_toggle.png, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-04-01 18:04:09, GET, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.044879
127.0.0.1, 2023-04-01 18:04:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2023-04-01 18:04:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.077791
